mutants,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Run 11,Run 12,Run 13,Run 14,Run 15,Run 16,Run 17,Run 18,Run 19,Run 20,Run 21,Run 22,Run 23,Run 24,Run 25,Run 26,Run 27,Run 28,Run 29,Run 30,,,
ADD_01,1,2,1,5,9,4,5,0,9,7,3,5,0,4,4,8,7,6,3,0,0,7,9,0,2,9,6,8,7,1,25,,
ADD_02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
ADD_03,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,,
AVD_01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,,
AVD_02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
AVI_01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,,
AVI_02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
DAL_01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,,
DCD_01,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,3,1,1,1,1,1,1,1,30,,
DCD_02,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,,
DCD_03,2,1,1,2,3,2,1,1,1,1,1,2,1,1,1,1,1,1,1,4,2,1,1,1,2,1,1,1,1,3,30,,
DCD_04,9,0,4,0,0,5,2,1,0,9,4,0,0,1,9,6,7,1,0,0,4,0,1,3,0,0,0,0,7,4,17,,
GFA_01,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,,
GFS_01,9,1,0,0,9,2,1,1,1,9,2,5,6,3,3,1,3,5,2,1,2,4,2,2,4,2,4,2,1,6,28,,
GFS_02,9,0,4,0,9,3,7,3,4,2,1,9,4,8,6,8,3,5,5,8,1,3,4,1,9,6,4,8,7,0,27,,
GFS_03,0,6,0,0,1,3,8,6,0,0,4,4,8,0,9,5,0,1,9,1,9,9,3,4,7,2,2,6,3,0,22,,
GFS_04,8,0,0,9,1,0,3,5,0,4,3,0,2,0,6,1,3,4,2,3,5,3,0,5,7,6,0,2,5,0,21,,
GFT_01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,,
GFT_02,1,1,4,1,1,4,1,2,1,2,2,2,6,1,1,1,3,2,2,6,1,1,1,1,1,1,3,2,1,1,30,,
GFT_03,0,0,0,1,7,1,1,1,4,0,1,3,6,9,6,1,1,1,6,5,6,0,3,5,1,1,3,5,0,9,24,,
GFT_04,1,5,4,1,2,3,1,2,1,1,1,1,0,3,2,9,1,1,5,3,1,7,4,1,6,3,2,4,1,1,29,,
