Mutants,r_run_01,r_run_02,r_run_03,r_run_04,r_run_05,r_run_06,r_run_07,r_run_08,r_run_09,r_run_10,r_run_11,r_run_12,r_run_13,r_run_14,r_run_15,r_run_16,r_run_17,r_run_18,r_run_19,r_run_20,r_run_21,r_run_22,r_run_23,r_run_24,r_run_25,r_run_26,r_run_27,r_run_28,r_run_29,r_run_30,
ADD_01,2,2,11,8,11,1,12,2,1,1,4,3,2,1,6,4,1,2,1,8,16,2,10,1,5,4,11,11,4,11,
ADD_02,0,0,0,0,0,3,0,0,22,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ADD_03,12,3,7,1,7,30,9,6,1,8,2,21,3,2,1,7,8,5,11,10,3,2,32,26,5,16,9,4,5,8,
ADD_04,9,1,6,10,6,1,1,3,4,8,5,2,3,2,4,3,1,3,10,1,2,2,5,1,11,1,5,4,5,2,
ARR_01,4,1,1,9,1,1,1,5,2,1,1,5,4,2,2,2,3,3,2,1,1,2,2,1,1,1,4,1,1,2,
AVD_01,1,1,1,2,1,1,3,1,1,1,2,1,2,1,4,2,1,1,1,2,4,1,4,1,2,3,2,2,1,2,
AVD_02,1,1,1,2,1,1,1,2,2,1,1,2,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,
AVD_03,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,3,1,1,1,1,1,1,1,2,1,1,
AVD_04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,15,48,38,0,0,0,0,0,0,0,
AVD_05,2,2,2,1,2,1,1,1,1,1,1,2,4,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,
AVI_01,1,1,1,1,1,2,1,2,1,3,2,1,3,1,4,3,1,1,3,1,1,1,1,1,1,2,2,2,1,1,
AVI_02,1,1,1,1,1,2,3,2,1,1,1,1,2,1,1,1,2,2,2,2,1,2,2,1,2,1,1,1,1,1,
AVI_03,0,0,0,0,0,0,0,22,10,0,44,0,0,21,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,
AVI_04,3,3,3,2,3,1,6,1,1,1,12,1,1,1,1,1,1,5,2,3,4,1,1,1,1,2,2,2,5,1,
DAL_01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
DCD_01,10,35,7,13,7,1,5,29,41,2,36,7,4,9,12,37,8,33,31,3,1,25,25,5,5,5,0,2,23,8,
DCD_02,3,1,1,1,1,4,1,4,7,4,1,4,2,4,2,3,1,2,3,2,4,2,1,1,1,5,4,1,2,1,
DCD_03,3,6,3,1,3,1,1,1,1,4,1,1,3,1,1,1,2,1,1,4,1,2,2,1,2,3,2,1,2,1,
DCD_04,1,1,1,1,1,2,3,3,1,1,4,1,1,1,1,1,2,1,2,2,1,1,2,1,1,2,1,1,2,1,
GFA_01,0,0,35,0,35,0,0,0,0,0,2,0,42,0,0,0,0,0,0,0,0,20,0,0,0,15,0,0,0,0,
GFS_01,0,24,0,0,0,0,34,0,0,3,23,0,0,0,26,38,0,0,4,0,0,0,0,29,4,46,0,0,13,0,
GFS_02,10,0,0,0,0,0,24,0,0,0,0,0,0,0,36,0,40,0,20,15,0,0,5,0,0,9,0,0,0,0,
GFS_03,8,2,8,0,8,0,0,36,0,0,0,38,0,9,0,0,0,22,0,0,0,0,0,0,3,0,45,0,24,0,
GFS_04,0,0,0,0,0,0,0,0,0,9,0,0,0,0,8,3,0,0,0,0,0,0,0,0,0,0,0,9,4,0,
GFT_01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,11,0,0,
GFT_02,49,0,0,0,0,0,7,0,0,0,0,0,0,0,0,22,0,0,0,0,8,40,0,0,24,0,0,25,46,0,
GFT_03,0,0,0,0,0,0,0,0,8,0,0,0,22,0,0,0,0,4,0,0,0,0,0,0,15,0,9,0,0,0,
GFT_04,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RSD_01,10,14,1,8,1,8,15,38,2,5,8,11,3,7,3,12,6,11,16,6,1,11,30,4,8,6,4,5,10,3,
RUAR_01,2,15,11,4,11,7,4,3,2,2,1,19,2,9,11,1,10,5,9,4,2,7,1,10,9,15,4,4,2,8,
RUAR_02,10,4,1,2,1,4,5,10,11,1,13,3,4,5,2,2,12,1,1,9,5,3,12,4,2,5,7,14,10,2,
RUOR_02,2,1,22,1,22,2,10,8,17,5,6,3,7,3,1,3,17,10,7,15,2,12,3,14,1,12,3,18,6,1,
RUOR_03,1,10,6,25,6,6,2,6,4,4,16,6,4,13,13,4,13,3,5,1,4,13,2,3,15,1,14,18,11,4,
RUOR_04,12,6,10,2,10,3,5,14,11,5,5,26,3,10,11,1,1,2,20,3,10,6,4,13,1,2,1,11,1,1,
RUOR_05,4,2,16,3,16,11,1,1,5,3,5,5,1,12,5,1,10,8,4,8,7,8,5,2,1,1,3,2,1,28,
mutants killed,26,25,25,23,25,25,26,25,26,25,26,24,25,26,26,26,25,25,25,24,25,26,26,25,27,26,24,26,27,23,25.26666667
mutation score,74.28571429,71.42857143,71.42857143,65.71428571,71.42857143,71.42857143,74.28571429,71.42857143,74.28571429,71.42857143,74.28571429,68.57142857,71.42857143,74.28571429,74.28571429,74.28571429,71.42857143,71.42857143,71.42857143,68.57142857,71.42857143,74.28571429,74.28571429,71.42857143,77.14285714,74.28571429,68.57142857,74.28571429,77.14285714,65.71428571,72.19047619
