Mutants,Run 01,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24,run_25,run_26,run_27,run_28,run_29,run_30,,,,
ADD_01,47833,73875,84664,121207,46,57900,131217,81252,112432,83803,15716,109368,11476,7,39,23442,16,72792,146535,112902,38,121296,26043,5889,21022,52682,145961,50229,1,11,30,,,
ADD_02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
ADD_03,5,2,10,4,5,1,18,1,2,2,10,1,5,7,3,7,2,8,4,6,24,2,4,8,3,2,7,2,11,9,30,,,
AVD_01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,,,
AVD_02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
AVI_01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,,,
AVI_02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
DAL_01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,,,
DCD_01,4,1,2,1,6,6,1,5,3,2,2,5,2,3,1,14,3,3,2,5,3,2,5,4,1,4,1,3,1,1,30,,,
DCD_02,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,,,
DCD_03,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,,,
DCD_04,1,2,2,1,3,1,4,2,2,6,5,3,2,1,1,1,1,3,1,2,2,4,1,4,1,4,7,3,2,3,30,,,
GFA_01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,,,
GFS_01,66968,13853,45,24,8,41543,101175,19,7,67446,134707,79379,40,9696,130513,44,9,2,1325,46849,32,14538,29441,36,4718,22693,118901,102752,25,2274,30,,,
GFS_02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
