mutants,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Run 11,Run 12,Run 13,Run 14,Run 15,Run 16,Run 17,Run 18,Run 19,Run 20,Run 21,Run 22,Run 23,Run 24,Run 25,Run 26,Run 27,Run 28,Run 29,Run 30,,,,
ADD_01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,,,
ADD_02,4,128012,10,37,30,21,43,24,25,35,57461,24,36,122830,48307,22,60347,14,94861,8,12,91797,10,24,39,104942,15,2,19,18,30,,,
ADD_03,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,,,
ADD_04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
ARR_01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,,,
ARR_02,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,,,
ARR_03,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,,,
ARR_04,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,,,
AVD_01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
AVD_02,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,,,
AVD_03,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,,,
AVD_04,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,,,
AVI_01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
AVI_02,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,,,
AVI_03,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,,,
AVI_04,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,,,
DAL_01,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,,,
DAL_02,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,,,
DCD_01,40,39,22423,43,102125,5,17,19,21,47,40,27,41,12782,136653,33,7767,101473,36,89053,36,1,12,64896,9,104055,4,26,13,31,30,,,
DCD_02,3,15,38,26,10,3,20,17,2,89769,109715,9,18,46,7,2,108392,40357,17,40,6337,15,44,14,30,17,49202,40,1,36,30,,,
DCD_03,1,31,1,100086,131320,13,17,2,27,5,21,2,18,15,70083,26,33,4,103185,49,49,25,14,14,20,20,30,24,14,26,30,,,
GFA_01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,,,
GFA_02,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,,,
GFS_01,137730,23,79614,92528,145884,90182,97745,22827,138282,147631,35,54351,12,85500,47602,102429,3,113617,117856,148557,21,73780,18451,57551,117237,141491,68413,10,145779,1036,30,,,
GFS_02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
GFS_03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
GFS_04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
GFT_01,133914,41,118972,1,33,92209,36880,121669,72537,143695,34384,127610,16,63815,136990,126205,93051,146034,34936,30633,67764,1839,60185,62158,24,48393,147089,70312,14557,136028,30,,,
GFT_02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
GFT_03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
GFT_04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
RUAR_01,7,1,5,8,5,1,16,10,2,1,1,7,7,6,3,1,1,1,4,3,13,1,2,7,2,2,6,1,6,1,30,,,
RUAR_02,1,2,12,2,1,1,3,1,3,1,5,6,6,4,6,1,4,12,2,3,8,1,4,2,8,1,7,1,1,7,30,,,
RUAR_03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
RUAR_04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
RUOR_01,7,4,2,8,2,5,1,3,4,6,8,1,2,8,1,1,5,3,1,6,5,2,1,4,2,3,4,3,3,1,30,,,
RUOR_02,3,2,15,8,2,2,7,5,1,7,5,3,1,2,2,1,4,1,10,3,4,1,1,8,5,3,3,1,2,2,30,,,
RUOR_03,2,1,5,3,3,4,6,1,2,2,3,1,1,6,3,4,6,5,8,6,5,4,4,2,3,2,3,9,5,4,30,,,
RUOR_04,2,2,2,3,4,7,2,1,2,1,3,5,1,4,2,1,2,10,4,2,4,4,5,3,8,1,7,4,2,1,30,,,
RUOR_05,6,2,2,4,1,8,2,8,4,5,7,2,2,1,2,2,2,5,10,2,1,1,8,2,1,1,5,3,1,2,30,,,
RUOR_06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
RUOR_07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
RUOR_08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
RUOR_09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
RUOR_10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
