Mutants,Run01,Run02,Run03,Run04,Run05,Run06,Run07,Run08,Run09,Run10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24,run_25,run_26,run_27,run_28,run_29,run_30,Successful Runs,,,
ADD_01,1,2,3,1,2,1,1,1,1,1,1,1,1,1,3,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,30,,,
ADD_02,3,1,1,1,1,3,3,1,2,1,2,1,1,1,1,2,1,1,1,3,1,2,1,1,1,2,1,3,1,1,30,,,
ADD_03,1,1,1,2,6,6,1,4,2,6,5,1,8,1,1,1,3,2,9,2,2,3,1,8,3,2,2,2,4,1,30,,,
ADD_04,18,8,3,11,4,16,3,109084,14,28,8,1,1,10,3,4,10,9,6,8,15,27,5,19,1,5,3,2,8,17,30,,,
ADD_05,2,1,2,3,5,15,4,3,18,3,10,2,13,13,5,12,9,12,5,3,6,29,14,3,20,44,20,11,3,15,30,,,
ARR_01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,,,
ARR_02,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,,,
ARR_03,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,,,
ARR_04,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,30,,,
ARR_05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,,,
AVD_01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,,,
AVD_02,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,,,
AVD_03,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,,,
AVI_01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,,,
AVI_02,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,,,
AVI_03,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,,,
DAL_01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,,,
DAL_02,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,,,
DAL_03,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,,,
DAL_04,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,,,
DAL_05,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,30,,,
DCD_01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,,,
DCD_02,32,38,33,21,28,13,23,34,24,51329,33,6,62376,36,23,4,32,18,29,18,31,44,42,40,16,123011,8,48,1,6,30,,,
DCD_03,37,36979,26,16,6,103495,37,99788,45,11,56800,33,9,52927,18,36745,42,32,99190,41,23,48,47,37958,15,13,29,17,1,1155,30,,,
DCD_04,25,7,42,20,28813,46,44,60741,40,36220,96331,146793,5,24,47,24,28,22,104156,11,32,31,18,24,117483,39,19,7,18,8,30,,,
DCD_05,5,24,27,9,23,16,48,78913,6,1,19,38,72687,79140,27,33,7,39,73325,5,55986,9,11195,12944,38,7,19349,2,28,35,30,,,
DCD_06,26,15,21,28,74562,36,24,28,23,49,97631,20,48,8,2,31,18,143843,45,7270,36,30,45,19,97140,23,9,44,45,22,30,,,
DCD_07,50979,4,34,36,16,14,47,32,33,6,35,7,88287,4,5,25,32,25,13,38,13,107233,3,56197,27,7,48,2,28,19,30,,,
DCD_08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
GFA_01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,,,
GFA_02,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,,,
GFA_03,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,,,
GFA_04,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,,,
GFA_05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,30,,,
GFR_01,7,146844,32398,25,22258,102726,8572,49,55365,1770,88566,90645,96960,41152,136644,125965,34829,91113,58386,24,100493,45111,39,136255,29,78644,82457,143983,88654,125198,30,,,
GFR_02,121700,13,57053,41,134845,13,10,81,98297,129052,48,121156,65348,46986,16,36,111902,97277,120295,45005,14780,22,39,76103,22934,93022,146430,68501,28,121138,30,,,
GFR_03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
GFR_04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
GFR_05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
GFR_06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
GFR_07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
GFR_08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
GFR_09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
GFR_10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
GFR_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
GFR_12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
GFT_01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
GFT_02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
RSD_01,2,1,6,1,4,6,4,3,1,1,7,1,3,2,3,2,1,2,2,1,1,1,1,3,1,3,2,2,2,1,30,,,
RSD_02,65245,7998,119945,14,37713,80418,131933,7100,65073,128496,33616,40207,113151,28,31,47935,23,107299,17,65916,5,28615,49,45,30,127385,27,77603,124320,26855,30,,,
RSD_03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
RUAR_01,1,2,3,3,1,3,2,2,2,8,2,6,2,2,1,3,1,1,7,14,3,1,1,1,3,3,1,3,1,2,30,,,
RUAR_02,97381,42531,138023,47,27,105213,2556,60422,98359,43083,15274,108500,148650,51237,82985,145256,32,29,111101,99254,29,26,43,42213,122307,126174,34,88766,63585,9090,30,,,
RUAR_03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
RUOR_01,1,3,1,5,8,1,3,7,1,3,3,1,2,1,4,7,1,3,4,1,1,3,1,6,3,6,8,1,2,4,30,,,
RUOR_02,3,2,3,3,3,2,3,7,2,1,2,1,1,2,6,6,3,1,3,3,5,2,1,3,5,1,1,1,1,4,30,,,
RUOR_03,10,13,13,39,49,21,13,22,77346,40,34,32,49,98383,16,26,52702,24,38,6,22,31,35878,46841,126914,25,41,2,44397,13,30,,,
RUOR_04,12,37,34,14,24,41,1,9,18,49,41,41,42,18,3,39,28,31,16,1,19,38,30240,37,14,2,19,9,39,46,30,,,
RUOR_05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
RUOR_06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Mutants Killed_50,39.00,39.00,39.00,43.00,38.00,39.00,40.00,36.00,38.00,37.00,37.00,38.00,36.00,37.00,41.00,39.00,40.00,39.00,37.00,39.00,40.00,40.00,40.00,36.00,38.00,38.00,40.00,39.00,39.00,38.00,,38.63,43.00,36.00
Mutation Score,65.00,65.00,65.00,71.67,63.33,65.00,66.67,60.00,63.33,61.67,61.67,63.33,60.00,61.67,68.33,65.00,66.67,65.00,61.67,65.00,66.67,66.67,66.67,60.00,63.33,63.33,66.67,65.00,65.00,63.33,,64.39,71.67,60.00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mutantskilled_10,33.00,33.00,31.00,31.00,32.00,29.00,33.00,31.00,30.00,32.00,31.00,33.00,32.00,32.00,34.00,31.00,32.00,30.00,31.00,33.00,31.00,30.00,31.00,30.00,30.00,33.00,32.00,35.00,33.00,31.00,,31.67,35.00,29.00
mutation_score,55.00,55.00,51.67,51.67,53.33,48.33,55.00,51.67,50.00,53.33,51.67,55.00,53.33,53.33,56.67,51.67,53.33,50.00,51.67,55.00,51.67,50.00,51.67,50.00,50.00,55.00,53.33,58.33,55.00,51.67,,52.78,58.33,48.33
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mutantskilled_all,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,,43.00,43.00,43.00
mutation_score,71.67,71.67,71.67,71.67,71.67,71.67,71.67,71.67,71.67,71.67,71.67,71.67,71.67,71.67,71.67,71.67,71.67,71.67,71.67,71.67,71.67,71.67,71.67,71.67,71.67,71.67,71.67,71.67,71.67,71.67,,71.67,71.67,71.67
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,l,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,l,,
