Run,C01,,,,C02,,,,C03,,,,C04,,,,Aggregated,,,
,R_{10},R_{50},R_{T},M,R_{10},R_{50},R_{T},M,R_{10},R_{50},R_{T},M,R_{10},R_{50},R_{T},M,R_{10},R_{50},R_{T},M
1,53.19,57.45,59.57,89.36,70.27,70.27,75.68,86.49,57.45,59.57,63.83,89.36,55,65,71.67,100,58.12,62.83,67.54,92.15
2,48.94,57.45,59.57,89.36,70.27,70.27,75.68,81.08,51.06,61.7,63.83,93.62,55,65,71.67,95,55.50,63.35,67.54,90.58
3,51.06,57.45,59.57,91.49,70.27,72.97,75.68,81.08,51.06,57.45,63.83,93.62,51.67,65,71.67,98.33,54.97,62.83,67.54,92.15
4,44.68,55.32,59.57,91.49,67.57,70.27,75.68,81.08,53.19,59.57,63.83,93.62,51.67,71.67,71.67,95,53.40,64.40,67.54,91.10
5,53.19,53.19,59.57,91.49,72.97,75.68,75.68,89.19,53.19,57.45,63.83,93.62,53.33,63.33,71.67,100,57.07,61.78,67.54,94.24
6,55.32,55.32,59.57,91.49,67.57,70.27,75.68,89.19,55.32,59.57,63.83,93.62,48.33,65,71.67,96.67,55.50,62.30,67.54,93.20
7,51.06,55.32,59.57,91.49,67.57,70.27,75.68,91.89,48.94,59.57,63.83,93.62,55,66.67,71.67,98.33,54.98,62.83,67.54,94.24
8,53.19,59.57,59.57,89.36,67.57,72.97,75.68,89.19,53.19,59.57,63.83,93.62,51.67,60,71.67,98.33,55.50,62.30,67.54,93.19
9,53.19,55.32,59.57,89.36,67.57,72.97,75.68,83.78,53.19,59.57,63.83,93.62,50,63.33,71.67,98.33,54.97,62.30,67.54,92.15
10,46.81,55.32,59.57,91.49,67.57,70.27,75.68,86.49,53.19,57.45,63.83,93.62,53.33,61.67,71.67,96.67,54.45,60.73,67.54,92.67
11,53.19,55.32,59.57,95.74,64.86,70.27,75.68,91.89,51.06,57.45,63.83,93.62,51.67,61.67,71.67,96.67,54.45,60.73,67.54,94.77
12,55.32,57.45,59.57,91.49,67.57,70.27,75.68,86.49,55.32,59.57,63.83,93.62,55,63.33,71.67,96.67,57.59,62.30,67.54,92.67
13,48.94,55.32,59.57,91.49,67.57,72.97,75.68,83.78,51.06,63.83,63.83,89.36,53.33,60,71.67,98.33,54.45,62.30,67.54,91.62
14,51.06,55.32,59.57,91.49,70.27,70.27,75.68,86.49,51.06,55.32,63.83,93.62,53.33,61.67,71.67,96.67,55.50,60.21,67.54,92.67
15,48.94,55.32,59.57,91.49,70.27,72.97,75.68,91.89,53.19,53.19,63.83,93.62,56.67,68.33,71.67,93.33,56.55,62.30,67.54,92.67
16,48.94,55.32,59.57,91.49,64.86,72.97,75.68,91.89,53.19,59.57,63.83,93.62,51.67,65,71.67,96.67,53.93,62.83,67.54,93.72
17,53.19,55.32,59.57,93.62,70.27,75.68,75.68,86.49,53.19,55.32,63.83,93.62,53.33,66.67,71.67,98.33,56.54,62.83,67.54,93.72
18,53.19,57.45,59.57,93.62,72.97,72.97,75.68,91.89,48.94,55.32,63.83,89.36,50,65,71.67,98.33,54.97,62.30,67.54,93.72
19,53.19,55.32,59.57,89.36,67.57,67.57,75.68,89.19,51.06,55.32,63.83,93.62,51.67,61.67,71.67,98.33,54.97,59.69,67.54,93.19
20,53.19,55.32,59.57,93.62,67.57,70.27,75.68,86.49,53.19,57.45,63.83,93.62,55,65,71.67,96.67,56.54,61.78,67.54,93.20
21,53.19,55.32,59.57,91.49,64.86,75.68,75.68,89.19,48.94,59.57,63.83,89.36,51.67,66.67,71.67,100,53.93,63.88,67.54,93.19
22,48.94,57.45,59.57,89.36,70.27,70.27,75.68,86.49,53.19,57.45,63.83,93.62,50,66.67,71.67,100,54.45,62.83,67.54,93.20
23,53.19,55.32,59.57,93.62,67.57,70.27,75.68,89.19,53.19,59.57,63.83,93.62,51.67,66.67,71.67,98.33,55.50,62.83,67.54,94.24
24,53.19,55.32,59.57,91.49,67.57,70.27,75.68,89.19,51.06,57.45,63.83,93.62,50,60,71.67,96.67,54.45,60.21,67.54,93.20
25,53.19,55.32,59.57,93.62,67.57,67.57,75.68,89.19,53.19,61.7,63.83,89.36,50,63.33,71.67,96.67,54.97,61.78,67.54,92.67
26,48.94,57.45,59.57,93.62,67.57,67.57,75.68,89.19,51.06,55.32,63.83,93.62,55,63.33,71.67,100,54.97,60.73,67.54,94.77
27,53.19,55.32,59.57,91.49,67.57,67.57,75.68,86.49,53.19,57.45,63.83,93.62,53.33,66.67,71.67,96.67,56.02,61.78,67.54,92.67
28,53.19,55.32,59.57,91.49,67.57,67.57,75.68,89.19,53.19,61.7,63.83,93.62,58.33,65,71.67,98.33,57.59,62.30,67.54,93.72
29,53.19,55.32,59.57,93.62,67.57,72.97,75.68,89.19,53.19,59.57,63.83,93.62,55,65,71.67,100,56.54,62.83,67.54,94.77
30,48.94,57.45,59.57,93.62,67.57,70.27,75.68,83.78,51.06,59.57,63.83,93.62,51.67,63.33,71.67,98.33,53.93,62.30,67.54,93.19
Avg,51.63,55.96,59.57,91.77,68.29,71.08,75.68,87.57,52.41,58.44,63.83,92.91,52.78,64.39,71.67,97.72,55.41,62.15,67.54,93.11
Min,44.68,53.19,59.57,89.36,64.86,67.57,75.68,81.08,48.94,53.19,63.83,89.36,48.33,60.00,71.67,93.33,53.40,59.69,67.54,90.58
Max,55.32,59.57,59.57,95.74,72.97,75.68,75.68,91.89,57.45,63.83,63.83,93.62,58.33,71.67,71.67,100.00,58.12,64.40,67.54,94.77
